5.34547e+14, 114374240, 983337, 1840,100125, MAGIC
5.53635e+13, 10, 770213, 2040,78171, QSQR
5.57767e+13, 9, 575590, 1840,57893, QSQR
5.58994e+13, 9, 613404, 1872,62419, QSQR
5.85007e+13, 35, 1576591, 1840,153135, QSQR
5.856e+13, 13, 904707, 2044,91133, QSQR
6.07052e+13, 7, 504023, 1890,51634, QSQR
6.09955e+14, 176434126, 1345646, 1840,132502, MAGIC
6.16964e+13, 13, 785159, 2068,78495, QSQR
6.52882e+13, 15821786, 303748, 1840,31739, QSQR
6.52882e+13, 15821786, 303748, 1842,31739, QSQR
6.57127e+13, 17584142, 320782, 1843,33352, QSQR
6.57127e+13, 17584142, 320782, 1845,33352, QSQR
6.57146e+13, 17584967, 321939, 1846,33488, QSQR
6.57255e+13, 17590924, 329009, 1860,34266, QSQR
6.58123e+13, 17640475, 385375, 1948,40435, QSQR
6.61372e+13, 19346499, 337816, 1848,34965, QSQR
6.61406e+13, 19347966, 339984, 1854,35221, QSQR
6.61437e+13, 19350178, 340047, 1846,35200, QSQR
6.64256e+13, 2, 643785, 1840,66930, QSQR
6.64256e+13, 2, 643785, 1843,66930, QSQR
6.65825e+13, 3, 685148, 1840,70937, QSQR
6.65825e+13, 3, 685148, 1844,70937, QSQR
6.65825e+13, 3, 685148, 1848,70937, QSQR
6.6585e+13, 3, 687680, 1849,71210, QSQR
6.65896e+13, 21123203, 372810, 1867,38591, QSQR
6.67423e+13, 4, 729367, 1840,75243, QSQR
6.67423e+13, 4, 729367, 1850,75243, QSQR
6.69897e+13, 22872860, 374198, 1862,38463, QSQR
6.69944e+13, 22875624, 375199, 1842,38554, QSQR
6.70077e+13, 22883510, 381410, 1840,39207, QSQR
6.70077e+13, 22883510, 381410, 1844,39207, QSQR
6.72281e+13, 7, 868116, 1856,88789, QSQR
6.74321e+13, 24645866, 398444, 1847,40820, QSQR
6.74321e+13, 24645866, 398444, 1855,40820, QSQR
6.74557e+13, 24659492, 413408, 1861,42440, QSQR
6.77139e+13, 10, 1006865, 1880,102335, QSQR
6.79739e+13, 7, 536734, 1848,54143, QSQR
6.80615e+13, 4, 747879, 1847,77832, QSQR
6.82899e+13, 28175660, 436277, 1860,44446, QSQR
6.87271e+13, 29945234, 459072, 1840,46675, QSQR
6.87271e+13, 29945234, 459072, 1846,46675, QSQR
6.87276e+13, 6, 542445, 2047,55887, QSQR
6.87426e+13, 17816649, 397524, 1948,41696, MAGIC
6.87778e+13, 29975138, 495038, 1858,50567, QSQR
6.95784e+13, 33471156, 492839, 1859,49863, QSQR
6.99835e+13, 35222422, 500046, 1867,50422, QSQR
7.04465e+13, 37006958, 536734, 1856,54143, QSQR
7.04465e+13, 37006958, 536734, 1860,54143, QSQR
7.04465e+13, 37006958, 536734, 1864,54143, QSQR
7.0742e+13, 4, 776722, 1848,79896, QSQR
7.07555e+13, 4, 786941, 1840,80949, QSQR
7.07555e+13, 4, 786941, 1850,80949, QSQR
7.1052e+13, 10, 1006865, 1880,102335, QSQR
7.1183e+13, 4, 786941, 1840,80949, QSQR
7.12767e+13, 40520530, 557841, 1852,55966, QSQR
7.26194e+13, 4, 786941, 1840,80949, QSQR
7.43098e+13, 52892762, 709092, 1840,70692, QSQR
7.43741e+13, 5, 773586, 1856,79549, QSQR
7.45731e+13, 17814375, 399859, 1843,42147, MAGIC
7.47409e+13, 54658798, 728357, 1840,72540, QSQR
7.62841e+13, 24871159, 472457, 1848,49069, MAGIC
7.71866e+13, 65174458, 789613, 1842,77924, QSQR
7.89428e+13, 6, 817805, 1840,83855, QSQR
7.89945e+13, 26619352, 415478, 1840,42433, MAGIC
7.90665e+13, 72308386, 919777, 1904,90935, QSQR
8.13852e+14, 44, 5078237, 2048,503567, QSQR
8.25141e+13, 31961041, 454334, 1858,46183, MAGIC
8.54686e+13, 4, 403232, 1849,41344, QSQR
8.55144e+13, 11, 723480, 1934,72757, QSQR
8.64943e+13, 10, 1212697, 2203,126223, QSQR
8.77029e+13, 107652950, 1353200, 1947,133461, QSQR
9.02406e+13, 47181544, 603971, 2028,61846, MAGIC
9.0593e+13, 16318047, 303748, 1842,31739, MAGIC
9.26284e+13, 40189917, 555004, 1986,56495, MAGIC
9.31227e+13, 18, 930696, 1856,92318, QSQR
9.39838e+13, 35, 1578760, 2014,156001, QSQR
9.71352e+14, 295033726, 1972612, 1975,196085, MAGIC
